,fiction_work,film_adaptation,film_year
0,"100 Rifles (1958), Robert MacLeod",100 Rifles (1969),['1969']
1,"101 Reykjavík (1996), Hallgrímur Helgason",101 Reykjavík (2000),['2000']
2,"The 120 Days of Sodom (Les 120 journées de Sodome, ou l'École du libertinage), novel (1785), pub. (1904), Marquis de Sade",Salò (1975),['1975']
3,"The 25th Hour (2001), David Benioff",25th Hour (2002),['2002']
4,"2010: Odyssey Two (1982), Arthur C. Clarke",2010 (1984),['1984']
5,"4.50 From Paddington (1957), Agatha Christie","Murder, She Said (1961)
Le crime est notre affaire (2008)","['1961', '2008']"
6,"42nd Street (1930), Bradford Ropes",42nd Street (1933),['1933']
7,"48 Shades of Brown (1999), Nick Earls",48 Shades (2006),['2006']
8,"491 (1961), Lars Görling",491 (1964),['1964']
9,"50 Shades of Grey (2011), E.L. James",50 Shades of Grey (2015),['2015']
10,"50 Ways of Saying Fabulous (2001), Graeme Aitken",50 Ways of Saying Fabulous (2005),['2005']
11,"52 Pick-Up (1974), Elmore Leonard","The Ambassador (1984)
52 Pick-Up (1986)","['1984', '1986']"
12,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),['1990']
13,"633 Squadron (1956), Frederick E. Smith",633 Squadron (1964),['1964']
15,"The A.B.C. Murders (1936), Agatha Christie","The Alphabet Murders (1966)
The A.B.C. Murders (1992) (TV)","['1966', '1992']"
16,"À ton image (1998), Louise L. Lambrichs",À ton image (2004),['2004']
17,"De Aanslag (The Assault) (1982), Harry Mulisch",The Assault (1986),['1986']
18,"About a Boy (1998), Nick Hornby",About a Boy (2002),['2002']
19,"About Schmidt (1996), Louis Begley",About Schmidt (2002),['2002']
20,"Absolute Power (1996), David Baldacci",Absolute Power (1997),['1997']
21,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),['1988']
22,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),['1972']
23,"Adam Resurrected (Man, Son of a Dog) (1971), Yoram Kaniuk",Adam Resurrected (2009),['2009']
24,"Adams Fall (2000), Sean Desmond",Abandon (2002),['2002']
25,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),['1973']
26,"Adiliya by the River (1999), Jin Renshun",Green Tea (2003),['2003']
27,"Adolphe (1816), Benjamin Constant",Adolphe (2002),['2002']
28,"Adventure (1911), Jack London",Adventure (1925),['1925']
29,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),['1970']
30,"The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),['2006']
31,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),['1954']
32,"Adventures of Huckleberry Finn (1884), Mark Twain","Huck and Tom (1918)
Huckleberry Finn (1920)
Huckleberry Finn (1931)
Huck Finn (1937)
The Adventures of Huckleberry Finn (1939)
The Adventures of Huckleberry Finn (1955) (TV)
The Adventures of Huckleberry Finn (1960)
Huckleberry Finn (1974)
Hopelessly Lost (1972)
Huckleberry Finn (1975) (TV)
The Adventures of Huckleberry Finn (1981) (TV)
Adventures of Huckleberry Finn (1985)
The Adventures of Mark Twain (1985)
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)
The Adventures of Huck Finn (1993)
Tom and Huck (1995)
Tomato Sawyer and Huckleberry Larry's Big River Rescue (2008)","['1918', '1920', '1931', '1937', '1939', '1955', '1960', '1974', '1972', '1975', '1981', '1985', '1985', '1990', '1993', '1995', '2008']"
33,"The Adventures of Pinocchio (1883), Carlo Collodi","The Adventures of Pinocchio (1936) (Unfinished, considered a lost film)
Pinocchio (1940)
Pinocchio (1957) (TV)
The Adventures of Buratino (1959)
Pinocchio in Outer Space (1965)
Pinocchio (1968) (TV)
Pinocchio (1972)
The Adventures of Buratino (1975)
Pinocchio (1976) (TV)
The Adventures of Pinocchio (1984)
Pinocchio and the Emperor of the Night (1987)
964 Pinocchio (1991)
Pinocchio (1992)
Pinocchio's Revenge (1996)
The Adventures of Pinocchio (1996)
Geppetto (2000)
A.I. Artificial Intelligence (2001)
A Tree of Palme (2002)
Pinocchio (2002)
Pinocchio 3000 (2004)
Pinocchio (2008)
Pistachio – The Little Boy That Woodn't (2010)","['1936', '1940', '1957', '1959', '1965', '1968', '1972', '1975', '1976', '1984', '1987', '1991', '1992', '1996', '1996', '2000', '2001', '2002', '2002', '2004', '2008', '2010']"
34,"The Adventures of Sherlock Holmes (1891–1892) (series), (1892) (novel), Arthur Conan Doyle","Adventures of Sherlock Holmes; or, Held for Ransom (1905)
The Adventures of Sherlock Holmes (1921)
The Adventures of Sherlock Holmes (1939)
The Adventures of Sherlock Holmes and Dr. Watson (1979–1986) (series)
Sheerluck Holmes and the Golden Ruler (2006/5)","['1905', '1921', '1939', '1979', '2006']"
35,"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1907)
Tom Sawyer (1917)
* Huck and Tom (1918)
Tom Sawyer (1930)
* Huckleberry Finn (1931)
The Adventures of Tom Sawyer (1938)
Tom Sawyer (1936)
The Adventures of Mark Twain (1944)
Tom Sawyer (1973)
* Huckleberry Finn (1974)
Tom Sawyer (1973) (TV)
* Huckleberry Finn (1975) (TV)
Tom Sawyer (1984)
The Adventures of Mark Twain (1985)
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)
Tom and Huck (1995)
Tom Sawyer (2000)","['1907', '1917', '1918', '1930', '1931', '1938', '1936', '1944', '1973', '1974', '1973', '1975', '1984', '1985', '1990', '1995', '2000']"
36,"Advise and Consent (1959), Allen Drury",Advise & Consent (1962),['1962']
37,"Aelita (1923) (a. k. a. Aelita or, The Decline of Mars), Alexei Tolstoy",Aelita (1924),['1924']
38,"The African Queen (1935), C. S. Forester",The African Queen (1951),['1951']
39,"After Dark, My Sweet (1955), Jim Thompson","After Dark, My Sweet (1990)",['1990']
40,"After Hours (1979), Edwin Torres",Carlito's Way (1993),['1993']
41,"After the Funeral (1953), Agatha Christie",Murder at the Gallop (1963),['1963']
42,"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1924)
The Age of Innocence (1928)
The Age of Innocence (1934)
The Age of Innocence (1993)","['1924', '1928', '1934', '1993']"
43,"The Agony and the Ecstasy (1961), Irving Stone",The Agony and the Ecstasy (1965),['1965']
44,"Äideistä parhain (Mother of Mine) (1999), Heikki Hietamies",Äideistä parhain (Mother of Mine) (2005) (a. k. a. Den bästa av mödrar (Swedish)),['2005']
45,"Aimez-vous Brahms? (1959), Françoise Sagan","Goodbye Again (1961)
Jahan Tum Le Chalo (1999)","['1961', '1999']"
46,"Air America (1985), Christopher Robbins",Air America (1990),['1990']
47,"Airborn (2004), Kenneth Oppel",Airborn (2012),['2012']
48,"Airport (1968), Arthur Hailey","Airport (1970)
* Airport 1975 (1975)
** Airport '77 (1977)
*** The Concorde ... Airport '79 (1979)","['1970', '1975', '1977', '1979']"
49,"Alice Adams (1921), Booth Tarkington","Alice Adams (1923)
Alice Adams (1935)","['1923', '1935']"
50,"Allan Quatermain (1887), Sir H. Rider Haggard",Allan Quatermain and the Lost City of Gold (1987),['1987']
51,"All Fall Down (1960), James Leo Herlihy",All Fall Down (1962),['1962']
52,"All the Brothers Were Valiant (1919), Ben Ames Williams","All the Brothers Were Valiant (1923)
Across to Singapore (1928)
All the Brothers Were Valiant (1953)","['1923', '1928', '1953']"
53,"All the King's Men (1946), Robert Penn Warren","All the King's Men (1949)
All the King's Men (2006)","['1949', '2006']"
54,"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000),['2000']
55,"All the Rivers Run (1958), Nancy Cato",All the Rivers Run (1983–1990) (mini),['1983']
56,"All the Way (2001), Andy Behrens",Sex Drive (2008),['2008']
57,"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014),['2014']
58,"Almayer's Folly (1895), Joseph Conrad","Hanyut (2011)
Almayer's Folly (2011)","['2011', '2011']"
59,"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),['2001']
60,"Altered States (1978), Paddy Chayefsky",Altered States (1980),['1980']
61,"Always Another Dawn (1948), Zelma Roberts",Always Another Dawn (1948),['1948']
62,"Always Outnumbered, Always Outgunned (1987), Walter Mosley",Always Outnumbered (1998) (TV),['1998']
63,"El Amante Bilingüe (The Bilingual Lover) (1990), Juan Marsé",El Amante Bilingüe (1993),['1993']
64,"El Amateur (The Amateur) (1990), Mauricio Dayub",El Amateur (1999),['1999']
65,"An American Dream (1965), Norman Mailer",An American Dream (1966),['1966']
66,"American Knees (1995), Shawn Wong",Americanese (2006),['2006']
67,"American Psycho (1991), Bret Easton Ellis","American Psycho (2000)
* American Psycho 2: All-American Girl (2002) (V)","['2000', '2002']"
68,"American Splendor (1976–2008), Harvey Pekar",American Splendor (2003),['2003']
69,"An American Tragedy (1925), Theodore Dreiser",A Place in the Sun (1951),['1951']
70,"The Americanization of Emily (1959), William Bradford Huie",The Americanization of Emily (1964),['1964']
71,"Amerika (1927), Franz Kafka","Klassenverhältnisse (Class Relations) (1984)
Intervista (1987)
Amerika (1994)","['1984', '1987', '1994']"
72,"Les amitiés particulières (This Special Friendship) (1943), Roger Peyrefitte",Les amitiés particulières (1964),['1964']
73,"The Amityville Horror (1977), Jay Anson","The Amityville Horror (1979)
The Amityville Horror (2005)","['1979', '2005']"
74,"El Amor infiel (The Unfaithful Love) (1970), Mario David",El Amor infiel (1974),['1974']
75,"Amos Judd (1895), John Ames Mitchell",The Young Rajah (1922),['1922']
76,"Amu (2005), Shonali Bose",Amu (2005),['2005']
77,"La Anam (Sleepless) (1969), Ihsan Abdel Quddous",La Anam (1957),['1957']
78,"Anatomy of a Murder (1958), John D. Voelker (as Robert Traver)",Anatomy of a Murder (1959),['1959']
79,"And Now Tomorrow (1942), Rachel Field",And Now Tomorrow (1944),['1944']
80,"And Then There Were None (1939), Agatha Christie","And Then There Were None (1945)
Ten Little Indians (1959) (TV)
Gumnaam (1965)
Ten Little Indians (1965)
Zehn kleine Negerlein (1969) (TV)
And Then There Were None (1974)
Desyat Negrityat (1987)
Ten Little Indians (1989)
Identity (2003)","['1945', '1959', '1965', '1965', '1969', '1974', '1987', '1989', '2003']"
81,"The Anderson Tapes (1969), Lawrence Sanders",The Anderson Tapes (1971),['1971']
82,"Andromeda: A Space-Age Tale (1957), Ivan Yefremov",The Andromeda Nebula (1967),['1967']
83,"The Andromeda Strain (1969), Michael Crichton","The Andromeda Strain (1971)
The Andromeda Strain (2008) (TV)","['1971', '2008']"
84,"Angel (1957), Elizabeth Taylor",Angel (2007),['2007']
85,"Angel Square (1987), Brian Doyle",Angel Square (1990),['1990']
86,"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angélique, marquise des anges (1964)
* Merveilleuse Angélique (1965)
** Angélique et le roy (1966)
*** Indomptable Angélique (fr) (1967)
**** Angélique et le Sultan (fr) (1968)","['1964', '1965', '1966', '1967', '1968']"
87,"Angels & Demons (2000), Dan Brown",Angels & Demons (2009),['2009']
88,"Anglo-Saxon Attitudes (1956), Angus Wilson",Anglo-Saxon Attitudes (1992),['1992']
89,"The Angry Hills (1955), Leon Uris",The Angry Hills (1959),['1959']
90,"Die Angst des Tormanns beim Elfmeter (The Goalkeeper's Fear of the Penalty) (1970), Peter Handke",The Goalkeeper's Fear of the Penalty (1972),['1972']
91,"Un animal doué de raison (A Sentient Animal) (1967), Robert Merle",The Day of the Dolphin (1973),['1973']
92,"Animal Farm (1945), George Orwell","Animal Farm (1954)
Animal Farm (1999) (TV)","['1954', '1999']"
93,"Anna and the King of Siam (1944), Margaret Landon","Anna and the King of Siam (1946)
The King and I (1956)
The King and I (1999)
Anna and the King (1999)","['1946', '1956', '1999', '1999']"
94,"Anna Karenina (1873–1887) (serial), (1888) (novel), Leo Tolstoy","Anna Karenina (1914)
Anna Karenina (1915)
Love (1927)
Anna Karenina (1935)
Anna Karenina (1948)
Nahr al-Hob (River of Love) (1960)
Anna Karenina (1967)
Anna Karenina (1974)
Anna Karenina (1985)
Anna Karenina (1997)
Anna Karenina (2005)
Anna Karenina (2012)","['1914', '1915', '1927', '1935', '1948', '1960', '1967', '1974', '1985', '1997', '2005', '2012']"
95,"Anna to the Infinite Power (1979), Mildred Ames",Anna to the Infinite Power (1983),['1983']
96,"Anne of Avonlea (1909), Lucy Maud Montgomery","Anne of Avonlea (1975) (TV)
Anne of Avonlea (1987) (TV)","['1975', '1987']"
97,"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables (1919)
Anne of Green Gables (1934)
* Anne of Windy Poplars (1940)
Anne of Green Gables (1956) (TV)
Anne of Green Gables (1972) (TV)
* Anne of Avonlea (1975) (TV)
Anne of Green Gables (1985) (TV)
** Anne of Avonlea (1987) (TV)
** * Anne of Green Gables: The Continuing Story (2000) (TV)
** ** Anne of Green Gables: A New Beginning (2009) (TV)","['1919', '1934', '1940', '1956', '1972', '1975', '1985', '1987', '2000', '2009']"
98,"L'Année des méduses (The Year of the Jellyfish) (1983), Christopher Frank",L'Année des méduses (Year of the Jellyfish) (1984),['1984']
99,"The Anointed (1937), Clyde Brion Davis",Adventure (1945),['1945']
100,"The Antagonists (1971), Ernest K. Gann",Masada (1987) (TV) (mini),['1987']
101,"Anthony Adverse (1933), Hervey Allen",Anthony Adverse (1936),['1936']
102,"Antikiller (Антикиллер) (1999), Daniil Koretsky",Antikiller (2002),['2002']
103,"Antonieta (1978), Andrés Henestrosa",Antonieta (1982),['1982']
104,"Apache Rising (1957), Marvin H. Albert",Duel at Diablo (1966),['1966']
105,"A Job for Jenny (1945) (a. k. a. A Job for Jenny), Faith Baldwin",Apartment for Peggy (1948),['1948']
106,"The Apocalypse Watch (1995), Robert Ludlum",The Apocalypse Watch (1997) (TV),['1997']
107,"The Apple Dumpling Gang (1971), Jack Bickham","The Apple Dumpling Gang (1975)
* The Apple Dumpling Gang Rides Again (1979)
** Tales from the Apple Dumpling Gang (1982) (TV)","['1975', '1979', '1982']"
108,"Appointment with Death (1938), Agatha Christie",Appointment with Death (1988),['1988']
109,"Appointment with Venus (1951), Jerrard Tickell",Appointment with Venus (1951),['1951']
110,"The Apprenticeship of Duddy Kravitz (1959), Mordecai Richler",The Apprenticeship of Duddy Kravitz (1974),['1974']
111,"Armageddon 2419 A.D. (1928), Philip Francis Nowlan
* The Airlords of Han (1929), Philip Francis Nowlan","Buck Rogers (1939)
Buck Rogers in the 25th Century (1979)","['1939', '1979']"
112,"L'Armée des ombres (The Army of Shadows) (1943), Joseph Kessel",L'Armée des ombres (The Army of Shadows) (1969),['1969']
113,"Arouse and Beware (1936), MacKinlay Kantor",The Man from Dakota (1940),['1940']
114,"Arrowsmith (1925), Sinclair Lewis",Arrowsmith (1931),['1931']
115,"El Asalto (The Robbery) (1956), Enrique Silberstein",El Asalto (The Robbery) (1960),['1960']
116,"Ascenseur pour l'échafaud (Lift to the Scaffold) (1951), Noël Calef",Elevator to the Gallows (1958),['1958']
117,"Ask the Dust (1939), John Fante",Ask the Dust (2006),['2006']
118,"Asking for Trouble (2001), Elizabeth Young",The Wedding Date (2005),['2005']
119,"The Asphalt Jungle (1949), W. R. Burnett","The Asphalt Jungle (1950)
The Badlanders (1959)","['1950', '1959']"
120,"The Assassination Bureau, Ltd (1963), Jack London",The Assassination Bureau (1969),['1969']
121,"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007),['2007']
122,"L'Assommoir (1877), Émile Zola",Gervaise (1956),['1956']
123,"Assunta Spina (1908), Salvatore Di Giacomo","Assunta Spina (1915)
Assunta Spina (1930)
Assunta Spina (1948)
Assunta Spina (2006)","['1915', '1930', '1948', '2006']"
124,"The Astronauts (1961), Stanisław Lem",First Spaceship on Venus (1960),['1960']
125,"Asylum (1996), Patrick McGrath",Asylum (2005),['2005']
126,"At Play in the Fields of the Lord (1965), Peter Matthiessen",At Play in the Fields of the Lord (1991),['1991']
127,"At the Earth's Core (1914) (serial), (1922) (novel), Edgar Rice Burroughs","At the Earth's Core (1976)
Journey to the Center of the Earth (2008)","['1976', '2008']"
128,"Atlantis (1912), Gerhart Hauptmann",Atlantis (1913),['1913']
129,"Atonement (2001), Ian McEwan",Atonement (2007),['2007']
130,"Audrey Rose (1975), Frank De Felitta",Audrey Rose (1977),['1977']
131,"The Auction Block (1914), Rex Beach","The Auction Block (1917)
The Auction Block (1926)","['1917', '1926']"
132,"Auntie Mame (1955), Patrick Dennis",Auntie Mame (1958),['1958']
133,"Avalon High (2005), Meg Cabot",Avalon High (2010) (TV),['2010']
134,"The Aviator (1981), Ernest K. Gann",The Aviator (1985),['1985']
135,"Away All Boats (1953), Kenneth M. Dodson",Away All Boats (1956),['1956']
136,An Awfully Big Adventure (1989) Beryl Bainbridge,An Awfully Big Adventure (1995),['1995']
137,"The Ax (1997), Donald E. Westlake",Le Couperet (2005),['2005']
138,"Ayat-Ayat Cinta (The Verses of Love) (2005), Habiburrahman El Shirazy",Ayat-Ayat Cinta (2008),['2008']
140,"Baby Love (1968), Tina Chad Christian",Baby Love (1968),['1968']
141,"Babylon Babies (1999), Maurice Georges Dantec",Babylon A.D. (2008),['2008']
142,"Back Street (1931), Fannie Hurst","Back Street (1932)
Back Street (1941)
Back Street (1961)","['1932', '1941', '1961']"
143,"Back When We Were Grownups (2001), Anne Tyler",Back When We Were Grownups (2004),['2004']
144,"Background to Danger (1937) (a. k. a. Uncommon Danger), Eric Ambler",Background to Danger (1943),['1943']
145,"Bad Girl (1928), Viña Delmar",Bad Girl (1931),['1931']
146,"The Bad Seed (1954), William March (novel)
* The Bad Seed (1954), play adaptation by Maxwell Anderson","The Bad Seed (1956)
The Bad Seed (1985) (TV)
The Bad Seed (TBA 2013)","['1956', '1985']"
147,"Baise-moi(1999), Virginie Despentes",Baise-moi (2000),['2000']
148,"The Bait (1968), Dorothy Uhnak",The Bait (1973) (TV),['1973']
149,"The Ballad of Cat Ballou (1956), Roy Chanslor",Cat Ballou (1965),['1965']
150,"The Ballad of the Flim-Flam Man (1965), Guy Owen",The Flim-Flam Man (1967),['1967']
151,"The Ballad of the Running Man (1963), Shelley Smith",The Running Man (1963),['1963']
152,"Balzac et la petite tailleuse chinoise (Balzac and the Little Chinese Seamstress) (2000), Dai Sijie",Balzac and the Little Chinese Seamstress (2002),['2002']
153,"Band of Angels (1955), Robert Penn Warren",Band of Angels (1957),['1957']
154,"Bank Shot (1972), Donald E. Westlake",Bank Shot (1974),['1974']
155,"Banner in the Sky (1900), James Ramsey Ullman",Third Man on the Mountain (1959),['1959']
156,"The Barefoot Mailman (1943), Theodore Pratt",The Barefoot Mailman (1951),['1951']
157,"Basil of Baker Street (1958), Eve Titus",The Great Mouse Detective (1986),['1986']
158,"Bastard Out of Carolina (1992), Dorothy Allison",Bastard Out of Carolina (1996),['1996']
159,"Battle Cry (1953), Leon Uris",Battle Cry (1955),['1955']
160,"The Battle of the Villa Fiorita (1963), Rumer Godden",The Battle of the Villa Fiorita (1965),['1965']
161,"Battle Royale (1999), Koushun Takami","Battle Royale (2000)
* Battle Royale II: Requiem (2003)","['2000', '2003']"
162,"Battlefield Earth (1982), L. Ron Hubbard",Battlefield Earth (2000),['2000']
163,"Be Cool (1999), Elmore Leonard",Be Cool (2005),['2005']
164,"Be Ready with Bells and Drums (1961), Elizabeth Kata",A Patch of Blue (1965),['1965']
165,"Be Still, My Love (1947), June Truesdell",The Accused (1949),['1949']
166,"The Beach (1996), Alex Garland",The Beach (2000),['2000']
167,"Beaches (1985), Iris Rainer Dart",Beaches (1988),['1988']
168,"The Beardless Warriors (1960), Richard Matheson",The Young Warriors (1967),['1967']
169,"The Beast (1991), Peter Benchley",The Beast (1996),['1996']
170,"The Beast Master (1959), Andre Norton","The Beastmaster (1982)
* Beastmaster 2: Through the Portal of Time (1991)
** Beastmaster III: The Eye of Braxus (1996) (TV)","['1982', '1991', '1996']"
171,"The Beast Must Die (1938), Cecil Day-Lewis (as Nicholas Blake)","La Bestia debe morir (1952)
Que la bête meure (The Beast Must Die) (1969) (a. k. a. This Man Must Die)","['1952', '1969']"
172,"The Beast Within (1981), Edward Levy",The Beast Within (1982),['1982']
173,"Beat the Devil (1951), Claud Cockburn (as James Helvick)",Beat the Devil (1953),['1953']
174,"Beau Brocade (1907), Baroness Emmuska Orczy",Beau Brocade (1916),['1916']
175,"Beau Geste (1924), P. C. Wren","Beau Geste (1926)
Beau Hunks (1931)
Beau Geste (1939)
Beau Geste (1966)
Follow That Camel (1967)
The Last Remake of Beau Geste (1977)
Beau Geste (1982) (TV) (mini)","['1926', '1931', '1939', '1966', '1967', '1977', '1982']"
176,"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",Beautiful Creatures (2013),['2013']
177,"Bedelia (1945), Vera Caspary",Bedelia (1946),['1946']
178,"Bee Season (2000), Myla Goldberg",Bee Season (2005),['2005']
179,"Beer and Blood: The Story of a Couple o' Wrong Guys (1930), John Bright and Kubec Glasmon",The Public Enemy (1931),['1931']
180,"Before the Fact (1932), Anthony Berkeley (as Francis Iles)",Suspicion (1941),['1941']
181,"Behind That Curtain (1928), Earl Derr Biggers",Behind That Curtain (1929),['1929']
182,"Being There (1971), Jerzy Kosinski",Being There (1979),['1979']
183,"Bel Ami (1885), Guy de Maupassant","Bel Ami (1939)
The Private Affairs of Bel Ami (1947)
Bel Ami (2005) (TV)
Bel Ami (2012)","['1939', '1947', '2005', '2012']"
184,"Belle de Jour (1928), Joseph Kessel",Belle de Jour (1967),['1967']
185,"Belli Moda (Silver Cloud) (1961), Anasuya Shankar",Belli Moda (1966),['1966']
186,"Bellman and True (1975), Desmond Lowden","Bellman and True (1987)
The Real McCoy (1993)","['1987', '1993']"
187,"Beloved (1987), Toni Morrison",Beloved (1998),['1998']
188,"Belphégor (1927), Arthur Bernède",Belphégor - Le fantôme du Louvre (2001),['2001']
189,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace","Ben Hur (1907)
Ben-Hur (1925)
Ben-Hur (1959)
Ben Hur (2003)
Ben Hur (2010) (TV) (mini)","['1907', '1925', '1959', '2003', '2010']"
190,"Benjamin Blake (1941), Edison Marshall","Son of Fury: The Story of Benjamin Blake (1942)
Treasure of the Golden Condor (1953)","['1942', '1953']"
191,"Benzina (Gasoline) (1998), Elena Stancanelli",Gasoline (2001),['2001']
192,"Beowulf (Eighth to Eleventh Century), unknown",Beowulf(2007),[]
193,"Berlin Alexanderplatz (1929), Alfred Döblin","Berlin — Alexanderplatz (1931)
Berlin Alexanderplatz (1980) (TV)","['1931', '1980']"
194,"La bestia nel cuore (2003), Cristina Comencini",La bestia nel cuore (The Beast in the Heart) (2005) (a. k. a. Don't Tell),['2005']
195,"La Bête humaine (1890), Émile Zola","Die Bestie im Menschen (1920)
La Bête Humaine (1938)
Human Desire (1954)
La Bestia humana (1954)
Cruel Train (1995)","['1920', '1938', '1954', '1954', '1995']"
196,"The Betsy (1971), Harold Robbins",The Betsy (1978),['1978']
197,"Beyond the Forest: The Story of a Man and Woman Destroyed by Love (1948), Stuart D. Engstrand",Beyond the Forest (1949),['1949']
198,"Beyond This Place (1953), A. J. Cronin","Beyond This Place (1955)
Beyond This Place (1957) (TV)
Kala Pani (1958)
Web of Evidence (1959)
Poola Rangadu (1967)","['1955', '1957', '1958', '1959', '1967']"
199,"The BFG (1982), Roald Dahl","The BFG (1989)
The BFG (2016)
","['1989', '2016']"
200,"Bhowani Junction (1954), John Masters",Bhowani Junction (1956),['1956']
201,"Bid Time Return (1975), Richard Matheson",Somewhere in Time (1980),['1980']
202,"The Beginning and the End (بداية ونهاية, Bidaya wa Nihaya) (1960), Naguib Mahfouz",Bidaya wa Nihaya (1960),['1960']
203,"The Big Bounce (1966) (written) (1969) (published), Elmore Leonard","The Big Bounce (1969)
The Big Bounce (2004)","['1969', '2004']"
204,"The Big Clock (1946), Kenneth Fearing","The Big Clock (1948)
No Way Out (1987)","['1948', '1987']"
205,"Big Fish: A Novel of Mythic Proportions (1998), Daniel Wallace",Big Fish (2003),['2003']
206,"The Big Fisherman (1948), Lloyd C. Douglas",The Big Fisherman (1959),['1959']
207,"The Big Heat (1952), William P. McGivern",The Big Heat (1953),['1953']
208,"Big Red (1945), Jim Kjelgaard",Big Red (1962),['1962']
209,"The Big Sleep (1939), Raymond Chandler","The Big Sleep (1946)
The Big Sleep (1978)
The Big Lebowski (1998)","['1946', '1978', '1998']"
210,"Big Trouble (1999), Dave Barry",Big Trouble (2002),['2002']
211,"Biggles (1932–1968) (series), W. E. Johns","Biggles: Adventures in Time (1986)
It Couldn't Happen Here (1988)","['1986', '1988']"
212,"Billion-Dollar Brain (1966), Len Deighton",Billion Dollar Brain (1967),['1967']
213,"Billy Bathgate (1989), E. L. Doctorow",Billy Bathgate (1991),['1991']
214,"Billy Liar (1969), Keith Waterhouse",Billy Liar (1963),['1963']
215,"Birdy (1978), William Wharton",Birdy (1984),['1984']
216,"The Bishop's Wife (1928), Robert Nathan",The Bishop's Wife (1947),['1947']
217,"Biruma no tategoto (The Burmese Harp) (1946) (a.k.a. Harp of Burma), Michio Takeyama","Biruma no tategoto (The Burmese Harp) (1956)
Biruma no tatekoto (The Burmese Harp) (1985)","['1956', '1985']"
218,"""The Biscuit Eater"" (1939), James H. Street","The Biscuit Eater (1940)
The Biscuit Eater (1972)","['1940', '1972']"
219,"The Bitch (1979), Jackie Collins",The Bitch (1979),['1979']
220,"[[Pascal Bruckner#Works - Lunes de fiel: roman, Seuil, 1981, ISBN 978-2-02-005856-8|Bitter Moon]] (Lunes de fiel) (1981), Pascal Bruckner",Bitter Moon (1992),['1992']
221,"The Bitter Tea of General Yen (1932), Grace Zaring Stone",The Bitter Tea of General Yen (1933),['1933']
222,"Black Alibi (1942), Cornell Woolrich",The Leopard Man (1943),['1943']
223,"The Black Angel (1943), Cornell Woolrich",Black Angel (1946),['1946']
224,"The Black Arrow: A Tale of the Two Roses (1888), Robert Louis Stevenson","The Black Arrow (1911)
The Black Arrow (1943)
The Black Arrow (1973) (TV)
Black Arrow (1985) (TV)
Chyornaya strela (The Black Arrow) (1987)
The Black Arrow (1988) (TV)","['1911', '1943', '1973', '1985', '1987', '1988']"
225,"Black Beauty (1877), Anna Sewell","Black Beauty (1921)
Black Beauty (1933)
Black Beauty (1946)
Courage of Black Beauty (1958)
Black Beauty (1971)
Black Beauty (1978) (TV)
Black Beauty (1994)
Black Beauty (1995) (V)","['1921', '1933', '1946', '1958', '1971', '1978', '1994', '1995']"
226,"The Black Camel (1929), Earl Derr Biggers",The Black Camel (1931),['1931']
227,"The Black Curtain (1941), Cornell Woolrich",Street of Chance (1942),['1942']
228,"The Black Dahlia (1987), James Ellroy",The Black Dahlia (2006),['2006']
229,"Black Narcissus (1939), Rumer Godden",Black Narcissus (1947),['1947']
230,"The Black Path of Fear (1944), Cornell Woolrich",The Chase (1946),['1946']
231,"The Black Rose (1945), Thomas B. Costain",The Black Rose (1950),['1950']
232,"The Black Stallion (1941–1989) (series), Walter Farley
The Black Stallion (1941)
* The Black Stallion Returns (1945)
** The Young Black Stallion (1989)","The Black Stallion (1979–2003) (series)
The Black Stallion (1979)
* The Black Stallion Returns (1983)
** The Young Black Stallion (2003)","['1979', '1979', '1983', '2003']"
233,"Black Sunday (1971), Thomas Harris",Black Sunday (1977),['1977']
234,"The Blackboard Jungle (1954), Evan Hunter",Blackboard Jungle (1955),['1955']
235,"Blackbeard's Ghost (1965), Ben Stahl",Blackbeard's Ghost (1968),['1968']
236,"The Blank Wall (1947), Elisabeth Sanxay Holding","The Reckless Moment (1949)
The Deep End (2001)","['1949', '2001']"
237,"Blaze of Noon (1946), Ernest K. Gann",Blaze of Noon (1947),['1947']
