,fiction_work,film_adaptation,film_year
456,"The Day They Robbed the Bank of England (1959), John Brophy",The Day They Robbed the Bank of England (1960),['1960']
457,"The Daybreakers (1960), Louis L'Amour
* Sackett (1961), Louis L'Amour",The Sacketts (1979) (TV),['1979']
458,"Dead Calm (1963), Charles F. Williams",Dead Calm (1999),['1999']
459,"The Dead Take No Bows (1941), Richard Bruke",Dressed to Kill (1941),['1941']
460,"The Dead Zone (1979), Stephen King",The Dead Zone (1983),['1983']
461,"Deadline at Dawn (1944), Cornell Woolrich (as William Irish)",Deadline at Dawn (1946),['1946']
462,"The Deadly Duo (1959), Richard Jessup",The Deadly Duo (1962),['1962']
463,"Deadly, Unna? (1998), Phillip Gwynne",Australian Rules (2002),['2002']
464,"Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (1970), Michael Crichton and Douglas Crichton (as Michael Douglas)",Dealing (1972),['1972']
465,"Dear John (2006), Nicholas Sparks",Dear John (2010),['2010']
466,"Death of a Common Man (1946), Desmond Holdridge",The End of the River (1947),['1947']
467,"Death on the Nile (1937), Agatha Christie","Death on the Nile (1978)
Death on the Nile (2004)","['1978', '2004']"
468,"Death Sentence (1975), Brian Garfield",Death Sentence (2007),['2007']
469,"Death Wish (1972), Brian Garfield",Death Wish (1974),['1974']
470,"The Deceivers (1952), John Masters",The Deceivers (1988),['1988']
471,"December Boys (1963), Michael Noonan",December Boys (2007),['2007']
472,"The Deep (1976), Peter Benchley",The Deep (1977),['1977']
473,"The Deep End of the Ocean (1996), Jacquelyn Mitchard",The Deep End of the Ocean (1999),['1999']
474,"Deliverance (1970), James Dickey",Deliverance (1972),['1972']
475,"Deluge (1928), S. Fowler Wright",Deluge (1933),['1933']
476,"The Deluge (1886), Henryk Sienkiewicz",The Deluge (1974),['1974']
477,"Demon Seed (1973), Dean Koontz",Demon Seed (1977),['1977']
478,"D'entre les morts (1954) (The Living and the Dead (U.S. edition only, 1956)), Pierre Boileau and Thomas Narcejac",Vertigo (1958),['1958']
479,"Derailed (2003), James Siegel",Derailed (2005),['2005']
480,"Desert Fury (1946), Ramona Stewart",Desert Fury (1947),['1947']
481,"Desert Gold (1913), Zane Grey","Desert Gold (1919)
Desert Gold (1926)
Desert Gold (1936)","['1919', '1926', '1936']"
482,"Desert Guns (1957), Steve Frazee",Gold of the Seven Saints (1961),['1961']
483,"Desert of the Heart (1964), Jane Rule",Desert Hearts (1985),['1985']
484,"The Desperate Hours (1954), Joseph Hayes","The Desperate Hours (1955)
Desperate Hours (1990)
36 Ghante (1974)","['1955', '1990', '1974']"
485,"Destry Rides Again (1930), Max Brand",Destry Rides Again (1939),['1939']
486,"The Detective (1966), Roderick Thorp",The Detective (1968),['1968']
487,"Detective (1997), Arthur Hailey",Detective (2005) (TV),['2005']
488,"The Devil Rides Out (1934), Dennis Wheatley",The Devil Rides Out (1967),['1967']
489,"The Devil Wears Prada (2003), Lauren Weisberger",The Devil Wears Prada (2006),['2006']
490,"The Devil's Advocate (1954), Morris West",Des Teufels Advokat (1977),['1977']
491,"The Devil's Advocate (1990), Andrew Neiderman",The Devil's Advocate (1997),['1997']
492,"The Devil's Own (1966), Norah Lofts",The Witches (1966),['1966']
493,"The Devils (a.k.a. Demons, or The Possessed) (1872), Fyodor Dostoyevsky","The Possessed (1969) (TV) (mini)
La femme publique (1984)","['1969', '1984']"
494,"The Devils of Loudun (1952), Aldous Huxley (novel)
* The Devils (1960), John Whiting (play)
** The Devils of Loudun (Die Teufel von Loudun) (1969) (opera)",The Devils (1971),['1971']
495,"Le Diable au corps (The Devil in the Flesh) (1923), Raymond Radiguet","Devil in the Flesh (1947)
Devil in the Flesh (1986)
Devil in the Flesh (1998)","['1947', '1986', '1998']"
496,"The Diamond Hunters (1971), Wilbur Smith",The Kingfisher Caper (1975),['1975']
497,"Diamonds Are Forever (1956), Ian Fleming",Diamonds Are Forever (1971),['1971']
498,"The Dice of God (1962), Hoffman Birney",The Glory Guys (1965),['1965']
499,"The Dirty Dozen (1965), E. M. Nathanson",The Dirty Dozen (1967),['1967']
500,"Dirty Weekend (1991), Helen Zahavi",Dirty Weekend (1993),['1993']
501,"Disappearing Acts (1989), Terry McMillan",Disappearing Acts (2000),['2000']
502,"Disclosure (1994), Michael Crichton",Disclosure (1994),['1994']
503,"The Disorientated Man (1967), Peter Saxon",Scream and Scream Again (1970),['1970']
504,"Il disprezzo (1954), Alberto Moravia",Contempt (1963),['1963']
505,"A Distant Trumpet (1951), Paul Horgan",A Distant Trumpet (1964),['1964']
506,"Divine Secrets of the Ya-Ya Sisterhood (1996), Rebecca Wells",Divine Secrets of the Ya-Ya Sisterhood (2002),['2002']
507,"Le Divorce (1997), Diane Johnson",Le Divorce (2003),['2003']
508,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner (1982),['1982']
509,"Doctor in the House (1952), Richard Gordon",Doctor in the House (1954),['1954']
510,"Doctor Slaughter (1984), Paul Theroux",Half Moon Street (1986),['1986']
511,"Doctor Zhivago (1957), Boris Pasternak","Doctor Zhivago (1965)
Doctor Zhivago (2002) (TV) (serial)","['1965', '2002']"
512,"Dodsworth (1929), Sinclair Lewis",Dodsworth (1936),['1936']
513,"The Dogs of War (1974), Frederick Forsyth",The Dogs of War (1981),['1981']
514,"Dog Soldiers (1974), Robert Stone",Who'll Stop the Rain (1978),['1978']
515,"Don Quixote (The Ingenious Gentleman Don Quixote of La Mancha) (1605-1615), Miguel de Cervantes","Adventures of the Ingenious Hidalgo Don Quixote (1903)
Don Quijote (1908)
Don Quichotte (1908)
Don Quixote (1915)
Don Quixote (1923)
Don Quixote (1927)
Don Quixote (1933 film) (1933)
Don Quichotte (1933/I)
Don Quichotte (1933/II)
Don Quixote (1934)
Don Quixote de la Mancha (1947)
Don Quixote (1955–1969, unfinished)
Don Quixote (1957)
Don Quixote's Children (1965)
Don Chisciotte e Sancho Panza (1969)
Man of La Mancha (1972)
The Adventures of Don Quixote (1973) (TV)
The Amorous Adventures of Don Quixote and Sancho Panza (1976)
Don Chisciotte (1983) (TV)
Don Quixote of La Mancha (1987)
Don Quijote de Orson Welles (1992)
Don Quixote (2000) (TV)
Don Quixote, Knight Errant (2002)
Don Quixote (2010)
The Man Who Killed Don Quixote (TBA 2014)","['1903', '1908', '1908', '1915', '1923', '1927', '1933', '1933', '1933', '1933', '1934', '1947', '1955', '1957', '1965', '1969', '1972', '1973', '1976', '1983', '1987', '1992', '2000', '2002', '2010']"
516,"Donovan's Brain (1942), Curt Siodmak","The Lady and the Monster (1944)
Donovan's Brain (1953)
The Brain (1962)","['1944', '1953', '1962']"
517,"Don't Look and It Won't Hurt (1971), Richard Peck",Gas Food Lodging (1992),['1992']
518,"Don't Say a Word (1991), Andrew Klavan",Don't Say a Word (2001),['2001']
519,"The Dork of Cork (1993), Chet Raymo",Frankie Starlight (1995),['1995']
520,"Double Indemnity (1936) (serial), (1943) (novel), James M. Cain",Double Indemnity (1944),['1944']
